"","title","budget","revenue","profit","profitable","profitable.ind","release_date","release_year","genre","runtime","vote_average","vote_count","event"
"90","Terminator 3: Rise of the Machines",200000000,435000000,235000000,"Profitable",1,2003-07-02,2003,"Action/Adventure",109,5.9,2143,"summer"
"91","Guardians of the Galaxy",170000000,773328629,603328629,"Profitable",1,2014-07-30,2014,"Action/Adventure",121,7.9,9742,"summer"
"92","Interstellar",165000000,675120017,510120017,"Profitable",1,2014-11-05,2014,"Drama",169,8.1,10867,"holiday"
"93","Inception",160000000,825532764,665532764,"Profitable",1,2010-07-14,2010,"Action/Adventure",148,8.1,13752,"summer"
"94","The Hobbit: An Unexpected Journey",250000000,1021103568,771103568,"Profitable",1,2012-11-26,2012,"Action/Adventure",169,7,8297,"holiday"
"95","The Fast and the Furious",38000000,207283925,169283925,"Profitable",1,2001-06-22,2001,"Action/Adventure",106,6.6,3428,"summer"
"96","The Curious Case of Benjamin Button",150000000,333932083,183932083,"Profitable",1,2008-11-24,2008,"Drama",166,7.3,3292,"holiday"
"97","X-Men: First Class",160000000,353624124,193624124,"Profitable",1,2011-05-24,2011,"Action/Adventure",132,7.1,5181,"na"
"98","The Hunger Games: Mockingjay - Part 2",160000000,653428261,493428261,"Profitable",1,2015-11-18,2015,"Action/Adventure",137,6.6,3984,"holiday"
"99","The Sorcerer's Apprentice",150000000,215283742,65283742,"Profitable",1,2010-07-13,2010,"Drama",109,5.8,1470,"summer"
"100","Poseidon",160000000,181674817,21674817,"Profitable",1,2006-05-12,2006,"Drama",99,5.5,583,"na"
"101","Alice Through the Looking Glass",170000000,299370084,129370084,"Profitable",1,2016-05-25,2016,"Sci-fi/Fantasy",113,6.5,1725,"na"
"102","Shrek the Third",160000000,798958165,638958165,"Profitable",1,2007-05-17,2007,"Comedy",93,6,2278,"na"
"103","Warcraft",160000000,433677183,273677183,"Profitable",1,2016-05-25,2016,"Action/Adventure",123,6.3,2268,"na"
"104","Terminator Genisys",155000000,440603537,285603537,"Profitable",1,2015-06-23,2015,"Action/Adventure",126,5.8,3631,"summer"
"105","The Chronicles of Narnia: The Voyage of the Dawn Treader",155000000,415686217,260686217,"Profitable",1,2010-08-13,2010,"Action/Adventure",113,6.2,1514,"summer"
"106","Pearl Harbor",140000000,449220945,309220945,"Profitable",1,2001-05-21,2001,"Romance",183,6.6,1791,"na"
"107","Transformers",150000000,709709780,559709780,"Profitable",1,2007-06-27,2007,"Action/Adventure",144,6.6,4040,"summer"
"108","Alexander",155000000,167298192,12298192,"Profitable",1,2004-11-21,2004,"Drama",175,5.6,927,"holiday"
"109","Harry Potter and the Order of the Phoenix",150000000,938212738,788212738,"Profitable",1,2007-06-28,2007,"Action/Adventure",138,7.4,5494,"summer"
"110","Harry Potter and the Goblet of Fire",150000000,895921036,745921036,"Profitable",1,2005-11-05,2005,"Action/Adventure",157,7.5,5608,"holiday"
"111","Hancock",150000000,624029371,474029371,"Profitable",1,2008-07-01,2008,"Action/Adventure",92,6.2,2961,"summer"
"112","I Am Legend",150000000,585349010,435349010,"Profitable",1,2007-12-14,2007,"Drama",101,6.9,4853,"holiday"
"113","Charlie and the Chocolate Factory",150000000,474968763,324968763,"Profitable",1,2005-07-13,2005,"Comedy",115,6.7,3624,"summer"
"114","Ratatouille",150000000,623722818,473722818,"Profitable",1,2007-06-22,2007,"Comedy",111,7.5,4369,"summer"
"115","Batman Begins",150000000,374218673,224218673,"Profitable",1,2005-06-10,2005,"Drama",140,7.5,7359,"summer"
"116","Madagascar: Escape 2 Africa",150000000,603900354,453900354,"Profitable",1,2008-10-30,2008,"Family/Animation",89,6.2,1810,"na"
"117","Night at the Museum: Battle of the Smithsonian",150000000,413106170,263106170,"Profitable",1,2009-05-20,2009,"Comedy",105,5.9,1971,"na"
"118","X-Men Origins: Wolverine",150000000,373062864,223062864,"Profitable",1,2009-04-28,2009,"Action/Adventure",107,6.2,4021,"na"
"119","The Matrix Revolutions",150000000,424988211,274988211,"Profitable",1,2003-11-05,2003,"Action/Adventure",129,6.4,3096,"holiday"
"120","Frozen",150000000,1274219009,1124219009,"Profitable",1,2013-11-27,2013,"Action/Adventure",102,7.3,5295,"holiday"
"121","The Matrix Reloaded",150000000,738599701,588599701,"Profitable",1,2003-05-15,2003,"Action/Adventure",138,6.7,3443,"na"
"122","Thor: The Dark World",170000000,644571402,474571402,"Profitable",1,2013-10-29,2013,"Action/Adventure",112,6.8,4755,"na"
"123","Mad Max: Fury Road",150000000,378858340,228858340,"Profitable",1,2015-05-13,2015,"Action/Adventure",120,7.2,9427,"na"
"124","Angels & Demons",150000000,356613439,206613439,"Profitable",1,2009-05-13,2009,"Thriller/Mystery/Horror",138,6.5,2129,"na"
"125","Thor",150000000,449326618,299326618,"Profitable",1,2011-04-21,2011,"Action/Adventure",115,6.6,6525,"na"
"126","Bolt",150000000,309979994,159979994,"Profitable",1,2008-11-21,2008,"Comedy",98,6.3,1750,"holiday"
"127","G-Force",150000000,292817841,142817841,"Profitable",1,2009-07-21,2009,"Comedy",88,5.1,510,"summer"
"128","Wrath of the Titans",150000000,301000000,151000000,"Profitable",1,2012-03-27,2012,"Action/Adventure",99,5.5,1431,"na"
"129","Dark Shadows",150000000,245527149,95527149,"Profitable",1,2012-05-08,2012,"Comedy",113,5.7,2320,"na"
"130","Mission: Impossible - Rogue Nation",150000000,682330139,532330139,"Profitable",1,2015-07-23,2015,"Action/Adventure",131,7.1,3224,"summer"
"131","Bee Movie",150000000,287594577,137594577,"Profitable",1,2007-10-28,2007,"Comedy",91,5.7,1171,"na"
"132","Kung Fu Panda 2",150000000,665692281,515692281,"Profitable",1,2011-05-25,2011,"Family/Animation",91,6.7,1880,"na"
"133","The Last Airbender",150000000,318502923,168502923,"Profitable",1,2010-06-30,2010,"Action/Adventure",103,4.7,1151,"summer"
"134","Mission: Impossible III",150000000,397850012,247850012,"Profitable",1,2006-05-03,2006,"Action/Adventure",126,6.5,2028,"na"
"135","White House Down",150000000,205366737,55366737,"Profitable",1,2013-06-27,2013,"Drama",131,6.4,1891,"summer"
"136","Mars Needs Moms",150000000,38992758,-111007242,"Not Profitable",0,2011-03-09,2011,"Action/Adventure",88,5.5,199,"na"
"137","Flushed Away",149000000,64459316,-84540684,"Not Profitable",0,2006-10-22,2006,"Comedy",85,6,874,"na"
"138","Pan",150000000,128388320,-21611680,"Not Profitable",0,2015-09-24,2015,"Action/Adventure",111,5.9,954,"na"
"139","Mr. Peabody & Sherman",145000000,272912430,127912430,"Profitable",1,2014-02-07,2014,"Action/Adventure",92,6.7,843,"na"
"140","Troy",175000000,497409852,322409852,"Profitable",1,2004-05-13,2004,"Drama",163,6.9,2759,"na"
"141","Madagascar 3: Europe's Most Wanted",145000000,746921274,601921274,"Profitable",1,2012-06-06,2012,"Family/Animation",93,6.4,1808,"summer"
"142","Die Another Day",140000000,431971116,291971116,"Profitable",1,2002-11-17,2002,"Action/Adventure",133,5.8,1092,"holiday"
"143","Ghostbusters",144000000,229147509,85147509,"Profitable",1,2016-07-14,2016,"Comedy",116,5.3,2142,"summer"
"144","Men in Black II",140000000,441818803,301818803,"Profitable",1,2002-07-03,2002,"Comedy",88,6,3114,"summer"
"145","Beowulf",70000000,195735876,125735876,"Profitable",1,2007-11-05,2007,"Action/Adventure",115,5.5,841,"holiday"
"146","Kung Fu Panda 3",145000000,521170825,376170825,"Profitable",1,2016-01-23,2016,"Comedy",95,6.7,1603,"na"
"147","Mission: Impossible - Ghost Protocol",145000000,694713380,549713380,"Profitable",1,2011-12-07,2011,"Action/Adventure",133,6.8,3972,"holiday"
"148","Rise of the Guardians",145000000,306941670,161941670,"Profitable",1,2012-11-21,2012,"Sci-fi/Fantasy",97,7.1,1922,"holiday"
"149","Fun with Dick and Jane",100000000,202026112,102026112,"Profitable",1,2005-12-21,2005,"Comedy",90,5.9,627,"holiday"
"150","The Last Samurai",140000000,456758981,316758981,"Profitable",1,2003-12-05,2003,"Drama",154,7.3,1895,"holiday"
"151","Exodus: Gods and Kings",140000000,268031828,128031828,"Profitable",1,2014-12-03,2014,"Drama",150,5.6,1921,"holiday"
"152","Star Trek",150000000,385680446,235680446,"Profitable",1,2009-05-06,2009,"Action/Adventure",127,7.4,4518,"na"
"153","Spider-Man",139000000,821708551,682708551,"Profitable",1,2002-05-01,2002,"Action/Adventure",121,6.8,5265,"na"
"154","How to Train Your Dragon 2",145000000,609123048,464123048,"Profitable",1,2014-06-12,2014,"Comedy",102,7.6,3106,"summer"
"155","Gods of Egypt",140000000,150680864,10680864,"Profitable",1,2016-02-25,2016,"Sci-fi/Fantasy",127,5.3,1277,"na"
"156","Stealth",135000000,76932943,-58067057,"Not Profitable",0,2005-07-28,2005,"Action/Adventure",121,4.9,331,"summer"
"157","Watchmen",130000000,185258983,55258983,"Profitable",1,2009-03-05,2009,"Action/Adventure",163,7,2811,"na"
"158","Hulk",137000000,245360480,108360480,"Profitable",1,2003-06-19,2003,"Drama",138,5.3,1533,"summer"
"159","G.I. Joe: Retaliation",130000000,371876278,241876278,"Profitable",1,2013-03-26,2013,"Action/Adventure",110,5.4,3025,"na"
"160","Sahara",130000000,119269486,-10730514,"Not Profitable",0,2005-04-06,2005,"Drama",124,5.7,434,"na"
"161","Final Fantasy: The Spirits Within",137000000,85131830,-51868170,"Not Profitable",0,2001-07-02,2001,"Action/Adventure",106,5.9,433,"summer"
"162","Captain America: The First Avenger",140000000,370569774,230569774,"Profitable",1,2011-07-22,2011,"Action/Adventure",124,6.6,7047,"summer"
"163","Master and Commander: The Far Side of the World",150000000,212011111,62011111,"Profitable",1,2003-11-14,2003,"Action/Adventure",138,6.9,790,"holiday"
"164","The Twilight Saga: Breaking Dawn - Part 2",120000000,829000000,709000000,"Profitable",1,2012-11-13,2012,"Drama",115,6.1,2553,"holiday"
"165","Happy Feet Two",130000000,150406466,20406466,"Profitable",1,2011-11-17,2011,"Comedy",100,5.8,373,"holiday"
"166","The Incredible Hulk",150000000,163712074,13712074,"Profitable",1,2008-06-12,2008,"Action/Adventure",114,6.1,3021,"summer"
"167","The BFG",140000000,183345589,43345589,"Profitable",1,2016-06-01,2016,"Action/Adventure",120,6,1000,"summer"
"168","The Revenant",135000000,532950503,397950503,"Profitable",1,2015-12-25,2015,"Drama",156,7.3,6396,"holiday"
"169","Turbo",135000000,282570682,147570682,"Profitable",1,2013-07-11,2013,"Family/Animation",96,6.1,1074,"summer"
"170","Rango",135000000,245724603,110724603,"Profitable",1,2011-03-02,2011,"Comedy",107,6.6,2051,"na"
"171","Penguins of Madagascar",132000000,373552094,241552094,"Profitable",1,2014-11-22,2014,"Comedy",92,6.5,1346,"holiday"
"172","The Bourne Ultimatum",70000000,442824138,372824138,"Profitable",1,2007-08-03,2007,"Drama",115,7.3,2888,"summer"
"173","Kung Fu Panda",130000000,631744560,501744560,"Profitable",1,2008-06-04,2008,"Comedy",90,6.9,3145,"summer"
"174","Ant-Man",130000000,519311965,389311965,"Profitable",1,2015-07-14,2015,"Action/Adventure",117,7,5880,"summer"
"175","The Hunger Games: Catching Fire",130000000,847423452,717423452,"Profitable",1,2013-11-15,2013,"Action/Adventure",146,7.4,6495,"holiday"
"176","Home",135000000,368871007,233871007,"Profitable",1,2015-03-18,2015,"Comedy",94,6.8,1519,"na"
"177","War of the Worlds",132000000,591739379,459739379,"Profitable",1,2005-06-28,2005,"Action/Adventure",116,6.2,2322,"summer"
"178","Bad Boys II",130000000,273339556,143339556,"Profitable",1,2003-07-18,2003,"Comedy",147,6.3,1564,"summer"
"179","Puss in Boots",130000000,554987477,424987477,"Profitable",1,2011-10-28,2011,"Action/Adventure",90,6.4,451,"na"
"180","Salt",110000000,293329073,183329073,"Profitable",1,2010-07-21,2010,"Action/Adventure",100,6.2,2093,"summer"
"181","Noah",125000000,362637473,237637473,"Profitable",1,2014-03-20,2014,"Drama",139,5.6,2350,"na"
"182","The Adventures of Tintin",130000000,371940071,241940071,"Profitable",1,2011-10-25,2011,"Action/Adventure",107,6.7,2061,"na"
"183","Harry Potter and the Prisoner of Azkaban",130000000,789804554,659804554,"Profitable",1,2004-05-31,2004,"Action/Adventure",141,7.7,5877,"na"
"184","Australia",130000000,49554002,-80445998,"Not Profitable",0,2008-11-18,2008,"Drama",165,6.3,694,"holiday"
"185","After Earth",130000000,243843127,113843127,"Profitable",1,2013-05-30,2013,"Action/Adventure",100,5,2532,"na"
"186","Dinosaur",127500000,354248063,226748063,"Profitable",1,2000-05-19,2000,"Family/Animation",82,6.2,542,"na"
"187","Night at the Museum: Secret of the Tomb",127000000,349424282,222424282,"Profitable",1,2014-12-17,2014,"Comedy",97,6.1,1851,"holiday"
"188","Megamind",130000000,321887208,191887208,"Profitable",1,2010-10-28,2010,"Comedy",95,6.7,1918,"na"
"189","Harry Potter and the Philosopher's Stone",125000000,976475550,851475550,"Profitable",1,2001-11-16,2001,"Action/Adventure",152,7.5,7006,"holiday"
"190","R.I.P.D.",130000000,61648500,-68351500,"Not Profitable",0,2013-07-18,2013,"Comedy",96,5.4,1260,"summer"
"191","Pirates of the Caribbean: The Curse of the Black Pearl",140000000,655011224,515011224,"Profitable",1,2003-07-09,2003,"Action/Adventure",143,7.5,6985,"summer"
"192","The Hunger Games: Mockingjay - Part 1",125000000,752100229,627100229,"Profitable",1,2014-11-18,2014,"Action/Adventure",123,6.6,5584,"holiday"
"193","The Da Vinci Code",125000000,767820459,642820459,"Profitable",1,2006-05-17,2006,"Thriller/Mystery/Horror",149,6.5,2704,"na"
"194","Rio 2",103000000,500188435,397188435,"Profitable",1,2014-03-19,2014,"Comedy",102,6.3,978,"na"
"195","X2",110000000,407711549,297711549,"Profitable",1,2003-04-24,2003,"Action/Adventure",133,6.8,3506,"na"
"196","Fast Five",125000000,626137675,501137675,"Profitable",1,2011-04-20,2011,"Action/Adventure",130,7.1,2438,"na"
"197","Sherlock Holmes: A Game of Shadows",125000000,334615000,209615000,"Profitable",1,2011-11-22,2011,"Action/Adventure",129,7,3886,"holiday"
"198","Clash of the Titans",125000000,232713139,107713139,"Profitable",1,2010-04-01,2010,"Action/Adventure",106,5.6,2233,"na"
"199","The Bourne Legacy",130000000,276572938,146572938,"Profitable",1,2012-08-08,2012,"Action/Adventure",120,6,2651,"summer"
"200","How the Grinch Stole Christmas",123000000,345141403,222141403,"Profitable",1,2000-11-17,2000,"Comedy",104,6.2,1386,"holiday"
"201","The Day After Tomorrow",125000000,544272402,419272402,"Profitable",1,2004-05-26,2004,"Action/Adventure",124,6.2,2392,"na"
"202","Mission: Impossible II",125000000,546388105,421388105,"Profitable",1,2000-05-24,2000,"Action/Adventure",123,5.9,1928,"na"
"203","The Perfect Storm",120000000,325756637,205756637,"Profitable",1,2000-03-15,2000,"Drama",130,6.2,597,"na"
"204","Life of Pi",120000000,609016565,489016565,"Profitable",1,2012-11-20,2012,"Drama",127,7.2,5797,"holiday"
"205","Ghost Rider",110000000,228738393,118738393,"Profitable",1,2007-02-16,2007,"Action/Adventure",114,5.2,1712,"na"
"206","Jason Bourne",120000000,415484914,295484914,"Profitable",1,2016-07-27,2016,"Action/Adventure",123,5.9,2341,"summer"
"207","Charlie's Angels: Full Throttle",120000000,259175788,139175788,"Profitable",1,2003-06-27,2003,"Comedy",106,5.2,914,"summer"
"208","Prometheus",130000000,403170142,273170142,"Profitable",1,2012-05-30,2012,"Action/Adventure",124,6.3,5080,"na"
"209","Stuart Little 2",120000000,169956806,49956806,"Profitable",1,2002-07-19,2002,"Comedy",78,5.4,613,"summer"
"210","Elysium",115000000,286140700,171140700,"Profitable",1,2013-08-07,2013,"Drama",109,6.4,3439,"summer"
"211","The Chronicles of Riddick",105000000,115772733,10772733,"Profitable",1,2004-06-11,2004,"Action/Adventure",119,6.3,1570,"summer"
"212","RoboCop",120000000,242688965,122688965,"Profitable",1,2014-01-30,2014,"Action/Adventure",102,5.7,2342,"na"
"213","Speed Racer",120000000,93945766,-26054234,"Not Profitable",0,2008-05-09,2008,"Action/Adventure",135,5.7,354,"na"
"214","How Do You Know",120000000,48668907,-71331093,"Not Profitable",0,2010-12-17,2010,"Drama",121,4.9,223,"holiday"
